Month,Region,Service Line,Payer,Facility Type,Visits,Cost,Readmissions
Jan,Europe,Imaging,Medicaid,Hospital,9117,556,464
Jan,Europe,Imaging,Medicaid,Clinic,7866,456,316
Jan,Europe,Imaging,Medicaid,Outpatient Center,8495,490,344
Jan,Europe,Cardiology,Commercial,Hospital,8804,642,768
Jan,Europe,Cardiology,Commercial,Clinic,7596,526,523
Jan,Europe,Cardiology,Commercial,Outpatient Center,8204,566,569
Jan,Europe,Cardiology,Medicare,Hospital,8295,660,882
Jan,Europe,Cardiology,Medicare,Clinic,7157,542,601
Jan,Europe,Cardiology,Medicare,Outpatient Center,7729,582,654
Jan,Europe,Cardiology,Medicaid,Hospital,8629,596,907
Jan,Europe,Cardiology,Medicaid,Clinic,7445,489,617
Jan,Europe,Cardiology,Medicaid,Outpatient Center,8040,526,672
Jan,Europe,Emergency Care,Commercial,Hospital,17357,537,828
Jan,Europe,Emergency Care,Commercial,Clinic,14975,440,564
Jan,Europe,Emergency Care,Commercial,Outpatient Center,16172,473,614
Jan,Europe,Emergency Care,Medicare,Hospital,16352,553,951
Jan,Europe,Emergency Care,Medicare,Clinic,14107,453,648
Jan,Europe,Emergency Care,Medicare,Outpatient Center,15233,487,705
Jan,Europe,Emergency Care,Medicaid,Hospital,17009,499,978
Jan,Europe,Emergency Care,Medicaid,Clinic,14673,409,666
Jan,Europe,Emergency Care,Medicaid,Outpatient Center,15844,440,725
Jan,APAC,Telehealth,Commercial,Hospital,20198,389,509
Jan,APAC,Telehealth,Commercial,Clinic,17429,319,346
Jan,APAC,Telehealth,Commercial,Outpatient Center,18826,344,377
Jan,APAC,Telehealth,Medicare,Hospital,19033,401,585
Jan,APAC,Telehealth,Medicare,Clinic,16423,329,398
Jan,APAC,Telehealth,Medicare,Outpatient Center,17738,354,433
Jan,APAC,Telehealth,Medicaid,Hospital,19803,362,601
Jan,APAC,Telehealth,Medicaid,Clinic,17086,297,409
Jan,APAC,Telehealth,Medicaid,Outpatient Center,18453,319,445
Jan,APAC,Imaging,Commercial,Hospital,11857,557,435
Jan,APAC,Imaging,Commercial,Clinic,10231,457,296
Jan,APAC,Imaging,Commercial,Outpatient Center,11049,491,323
Jan,APAC,Imaging,Medicare,Hospital,11172,573,500
Jan,APAC,Imaging,Medicare,Clinic,9639,470,341
Jan,APAC,Imaging,Medicare,Outpatient Center,10409,506,371
Jan,APAC,Imaging,Medicaid,Hospital,11622,518,514
Jan,APAC,Imaging,Medicaid,Clinic,10026,425,350
Jan,APAC,Imaging,Medicaid,Outpatient Center,10827,456,381
Jan,APAC,Cardiology,Commercial,Hospital,11224,598,850
Jan,APAC,Cardiology,Commercial,Clinic,9683,490,579
Jan,APAC,Cardiology,Commercial,Outpatient Center,10457,527,630
Jan,APAC,Cardiology,Medicare,Hospital,10573,615,977
Jan,APAC,Cardiology,Medicare,Clinic,9122,504,665
Jan,APAC,Cardiology,Medicare,Outpatient Center,9850,542,724
Jan,APAC,Cardiology,Medicaid,Hospital,10998,555,1004
Jan,APAC,Cardiology,Medicaid,Clinic,9487,455,684
Jan,APAC,Cardiology,Medicaid,Outpatient Center,10244,489,745
Jan,APAC,Emergency Care,Commercial,Hospital,22123,500,917
Jan,APAC,Emergency Care,Commercial,Clinic,19085,410,625
Jan,APAC,Emergency Care,Commercial,Outpatient Center,20607,441,680
Jan,APAC,Emergency Care,Medicare,Hospital,20838,515,1054
Jan,APAC,Emergency Care,Medicare,Clinic,17975,422,718
Jan,APAC,Emergency Care,Medicare,Outpatient Center,19408,454,781
Jan,APAC,Emergency Care,Medicaid,Hospital,21672,464,1083
Jan,APAC,Emergency Care,Medicaid,Clinic,18693,381,737
Jan,APAC,Emergency Care,Medicaid,Outpatient Center,20183,409,803
Jan,Latin America,Telehealth,Commercial,Hospital,12725,286,339
Jan,Latin America,Telehealth,Commercial,Clinic,10980,234,231
Jan,Latin America,Telehealth,Commercial,Outpatient Center,11858,252,251
Jan,Latin America,Telehealth,Medicare,Hospital,11989,294,390
Jan,Latin America,Telehealth,Medicare,Clinic,10344,241,265
Jan,Latin America,Telehealth,Medicare,Outpatient Center,11171,259,289
Jan,Latin America,Telehealth,Medicaid,Hospital,12472,266,400
Jan,Latin America,Telehealth,Medicaid,Clinic,10760,218,273
Jan,Latin America,Telehealth,Medicaid,Outpatient Center,11619,234,297
Jan,Latin America,Imaging,Commercial,Hospital,7468,409,290
Jan,Latin America,Imaging,Commercial,Clinic,6443,335,198
Jan,Latin America,Imaging,Commercial,Outpatient Center,6958,361,215
Jan,Latin America,Imaging,Medicare,Hospital,7035,421,333
Jan,Latin America,Imaging,Medicare,Clinic,6069,345,227
Jan,Latin America,Imaging,Medicare,Outpatient Center,6554,371,247
Jan,Latin America,Imaging,Medicaid,Hospital,7318,380,343
Jan,Latin America,Imaging,Medicaid,Clinic,6312,311,233
Jan,Latin America,Imaging,Medicaid,Outpatient Center,6816,335,254
Jan,Latin America,Cardiology,Commercial,Hospital,7067,438,567
Jan,Latin America,Cardiology,Commercial,Clinic,6097,360,386
Jan,Latin America,Cardiology,Commercial,Outpatient Center,6583,387,420
Jan,Latin America,Cardiology,Medicare,Hospital,6657,451,651
Jan,Latin America,Cardiology,Medicare,Clinic,5742,370,444
Jan,Latin America,Cardiology,Medicare,Outpatient Center,6200,398,483
Jan,Latin America,Cardiology,Medicaid,Hospital,6923,407,669
Jan,Latin America,Cardiology,Medicaid,Clinic,5972,334,456
Jan,Latin America,Cardiology,Medicaid,Outpatient Center,6447,359,496
Jan,Latin America,Emergency Care,Commercial,Hospital,13927,367,611
Jan,Latin America,Emergency Care,Commercial,Clinic,12013,301,416
Jan,Latin America,Emergency Care,Commercial,Outpatient Center,12970,323,453
Jan,Latin America,Emergency Care,Medicare,Hospital,13116,377,702
Jan,Latin America,Emergency Care,Medicare,Clinic,11313,309,478
Jan,Latin America,Emergency Care,Medicare,Outpatient Center,12214,333,521
Jan,Latin America,Emergency Care,Medicaid,Hospital,13639,340,722
Jan,Latin America,Emergency Care,Medicaid,Clinic,11763,279,492
Jan,Latin America,Emergency Care,Medicaid,Outpatient Center,12699,300,535
Feb,North America,Telehealth,Commercial,Hospital,17945,480,579
Feb,North America,Telehealth,Commercial,Clinic,15488,393,394
Feb,North America,Telehealth,Commercial,Outpatient Center,16731,423,429
Feb,North America,Telehealth,Medicare,Hospital,16914,494,665
Feb,North America,Telehealth,Medicare,Clinic,14597,405,453
Feb,North America,Telehealth,Medicare,Outpatient Center,15768,436,493
Feb,North America,Telehealth,Medicaid,Hospital,17603,446,684
Feb,North America,Telehealth,Medicaid,Clinic,15190,366,466
Feb,North America,Telehealth,Medicaid,Outpatient Center,16408,393,507
Feb,North America,Imaging,Commercial,Hospital,10538,686,495
Feb,North America,Imaging,Commercial,Clinic,9094,563,337
Feb,North America,Imaging,Commercial,Outpatient Center,9824,606,367
Feb,North America,Imaging,Medicare,Hospital,9932,707,569
Feb,North America,Imaging,Medicare,Clinic,8570,580,388
Feb,North America,Imaging,Medicare,Outpatient Center,9257,623,422
Feb,North America,Imaging,Medicaid,Hospital,10334,638,585
Feb,North America,Imaging,Medicaid,Clinic,8917,523,398
Feb,North America,Imaging,Medicaid,Outpatient Center,9631,563,434
Feb,North America,Cardiology,Commercial,Hospital,9979,736,968
Feb,North America,Cardiology,Commercial,Clinic,8611,604,659
Feb,North America,Cardiology,Commercial,Outpatient Center,9301,650,718
Feb,North America,Cardiology,Medicare,Hospital,9403,758,1112
Feb,North America,Cardiology,Medicare,Clinic,8113,622,757
Feb,North America,Cardiology,Medicare,Outpatient Center,8763,669,824
Feb,North America,Cardiology,Medicaid,Hospital,9783,684,1143
Feb,North America,Cardiology,Medicaid,Clinic,8441,561,778
Feb,North America,Cardiology,Medicaid,Outpatient Center,9115,603,847
Feb,North America,Emergency Care,Commercial,Hospital,19677,616,1044
Feb,North America,Emergency Care,Commercial,Clinic,16978,506,711
Feb,North America,Emergency Care,Commercial,Outpatient Center,18335,544,774
Feb,North America,Emergency Care,Medicare,Hospital,18539,634,1199
Feb,North America,Emergency Care,Medicare,Clinic,15994,520,817
Feb,North America,Emergency Care,Medicare,Outpatient Center,17272,559,889
Feb,North America,Emergency Care,Medicaid,Hospital,19285,573,1232
Feb,North America,Emergency Care,Medicaid,Clinic,16637,470,839
Feb,North America,Emergency Care,Medicaid,Outpatient Center,17965,505,914
Feb,Europe,Telehealth,Commercial,Hospital,16365,442,483
Feb,Europe,Telehealth,Commercial,Clinic,14123,362,329
Feb,Europe,Telehealth,Commercial,Outpatient Center,15255,390,358
Feb,Europe,Telehealth,Medicare,Hospital,15422,455,554
Feb,Europe,Telehealth,Medicare,Clinic,13308,373,378
Feb,Europe,Telehealth,Medicare,Outpatient Center,14374,401,411
Feb,Europe,Telehealth,Medicaid,Hospital,16047,410,570
Feb,Europe,Telehealth,Medicaid,Clinic,13846,337,388
Feb,Europe,Telehealth,Medicaid,Outpatient Center,14954,362,422
Feb,Europe,Imaging,Commercial,Hospital,9608,632,413
Feb,Europe,Imaging,Commercial,Clinic,8290,518,281
Feb,Europe,Imaging,Commercial,Outpatient Center,8954,557,306
Feb,Europe,Imaging,Medicare,Hospital,9053,650,474
Feb,Europe,Imaging,Medicare,Clinic,7811,533,323
Feb,Europe,Imaging,Medicare,Outpatient Center,8436,574,352
Feb,Europe,Imaging,Medicaid,Hospital,9419,587,488
Feb,Europe,Imaging,Medicaid,Clinic,8126,482,332
Feb,Europe,Imaging,Medicaid,Outpatient Center,8775,518,361
Feb,Europe,Cardiology,Commercial,Hospital,9096,678,807
Feb,Europe,Cardiology,Commercial,Clinic,7848,556,549
Feb,Europe,Cardiology,Commercial,Outpatient Center,8475,598,598
Feb,Europe,Cardiology,Medicare,Hospital,8569,698,927
Feb,Europe,Cardiology,Medicare,Clinic,7393,572,631
Feb,Europe,Cardiology,Medicare,Outpatient Center,7983,615,687
Feb,Europe,Cardiology,Medicaid,Hospital,8914,630,952
Feb,Europe,Cardiology,Medicaid,Clinic,7690,516,649
Feb,Europe,Cardiology,Medicaid,Outpatient Center,8303,555,706
Feb,Europe,Emergency Care,Commercial,Hospital,17930,567,870
Feb,Europe,Emergency Care,Commercial,Clinic,15468,465,592
Feb,Europe,Emergency Care,Commercial,Outpatient Center,16703,500,645
Feb,Europe,Emergency Care,Medicare,Hospital,16890,584,999
Feb,Europe,Emergency Care,Medicare,Clinic,14570,479,680
Feb,Europe,Emergency Care,Medicare,Outpatient Center,15732,515,741
Feb,Europe,Emergency Care,Medicaid,Hospital,17567,527,1027
Feb,Europe,Emergency Care,Medicaid,Clinic,15153,432,699
Feb,Europe,Emergency Care,Medicaid,Outpatient Center,16361,464,761
Feb,APAC,Telehealth,Commercial,Hospital,20871,411,535
Feb,APAC,Telehealth,Commercial,Clinic,18009,337,364
Feb,APAC,Telehealth,Commercial,Outpatient Center,19450,363,396
Feb,APAC,Telehealth,Medicare,Hospital,19665,423,614
Feb,APAC,Telehealth,Medicare,Clinic,16967,347,418
Feb,APAC,Telehealth,Medicare,Outpatient Center,18324,373,455
Feb,APAC,Telehealth,Medicaid,Hospital,20458,382,631
Feb,APAC,Telehealth,Medicaid,Clinic,17650,314,430
Feb,APAC,Telehealth,Medicaid,Outpatient Center,19061,337,468
Feb,APAC,Imaging,Commercial,Hospital,12250,589,457
Feb,APAC,Imaging,Commercial,Clinic,10569,483,311
Feb,APAC,Imaging,Commercial,Outpatient Center,11414,519,339
Feb,APAC,Imaging,Medicare,Hospital,11541,606,525
Feb,APAC,Imaging,Medicare,Clinic,9956,497,358
Feb,APAC,Imaging,Medicare,Outpatient Center,10751,534,390
Feb,APAC,Imaging,Medicaid,Hospital,12004,547,540
Feb,APAC,Imaging,Medicaid,Clinic,10356,448,368
Feb,APAC,Imaging,Medicaid,Outpatient Center,11182,482,400
Feb,APAC,Cardiology,Commercial,Hospital,11594,631,893
Feb,APAC,Cardiology,Commercial,Clinic,10002,518,608
Feb,APAC,Cardiology,Commercial,Outpatient Center,10800,556,662
Feb,APAC,Cardiology,Medicare,Hospital,10921,649,1027
Feb,APAC,Cardiology,Medicare,Clinic,9421,533,699
Feb,APAC,Cardiology,Medicare,Outpatient Center,10172,573,761
Feb,APAC,Cardiology,Medicaid,Hospital,11358,586,1055
Feb,APAC,Cardiology,Medicaid,Clinic,9797,481,719
Feb,APAC,Cardiology,Medicaid,Outpatient Center,10578,517,782
Feb,APAC,Emergency Care,Commercial,Hospital,22848,528,963
Feb,APAC,Emergency Care,Commercial,Clinic,19709,433,656
Feb,APAC,Emergency Care,Commercial,Outpatient Center,21280,465,714
Feb,APAC,Emergency Care,Medicare,Hospital,21519,543,1107
Feb,APAC,Emergency Care,Medicare,Clinic,18562,445,754
Feb,APAC,Emergency Care,Medicare,Outpatient Center,20040,479,821
Feb,APAC,Emergency Care,Medicaid,Hospital,22378,490,1138
Feb,APAC,Emergency Care,Medicaid,Clinic,19301,402,775
Feb,APAC,Emergency Care,Medicaid,Outpatient Center,20838,432,843
Feb,Latin America,Telehealth,Commercial,Hospital,13147,302,356
Feb,Latin America,Telehealth,Commercial,Clinic,11342,248,243
Feb,Latin America,Telehealth,Commercial,Outpatient Center,12249,266,264
Feb,Latin America,Telehealth,Medicare,Hospital,12385,311,409
Feb,Latin America,Telehealth,Medicare,Clinic,10685,255,279
Feb,Latin America,Telehealth,Medicare,Outpatient Center,11538,274,304
Feb,Latin America,Telehealth,Medicaid,Hospital,12882,280,421
Feb,Latin America,Telehealth,Medicaid,Clinic,11113,230,287
Feb,Latin America,Telehealth,Medicaid,Outpatient Center,12000,247,312
Feb,Latin America,Imaging,Commercial,Hospital,7714,432,305
Feb,Latin America,Imaging,Commercial,Clinic,6655,354,208
Feb,Latin America,Imaging,Commercial,Outpatient Center,7186,381,226
Feb,Latin America,Imaging,Medicare,Hospital,7266,444,350
Feb,Latin America,Imaging,Medicare,Clinic,6268,364,239
Feb,Latin America,Imaging,Medicare,Outpatient Center,6768,392,260
Feb,Latin America,Imaging,Medicaid,Hospital,7557,401,360
Feb,Latin America,Imaging,Medicaid,Clinic,6519,329,245
Feb,Latin America,Imaging,Medicaid,Outpatient Center,7038,353,267
Feb,Latin America,Cardiology,Commercial,Hospital,7299,463,596
Feb,Latin America,Cardiology,Commercial,Clinic,6296,380,406
Feb,Latin America,Cardiology,Commercial,Outpatient Center,6798,408,442
Feb,Latin America,Cardiology,Medicare,Hospital,6874,476,684
Feb,Latin America,Cardiology,Medicare,Clinic,5929,391,466
Feb,Latin America,Cardiology,Medicare,Outpatient Center,6402,420,507
Feb,Latin America,Cardiology,Medicaid,Hospital,7149,430,703
Feb,Latin America,Cardiology,Medicaid,Clinic,6166,352,479
Feb,Latin America,Cardiology,Medicaid,Outpatient Center,6656,379,521
Feb,Latin America,Emergency Care,Commercial,Hospital,14381,387,642
Feb,Latin America,Emergency Care,Commercial,Clinic,12404,318,437
Feb,Latin America,Emergency Care,Commercial,Outpatient Center,13391,341,476
Feb,Latin America,Emergency Care,Medicare,Hospital,13542,398,738
Feb,Latin America,Emergency Care,Medicare,Clinic,11680,327,503
Feb,Latin America,Emergency Care,Medicare,Outpatient Center,12609,351,547
Feb,Latin America,Emergency Care,Medicaid,Hospital,14081,359,758
Feb,Latin America,Emergency Care,Medicaid,Clinic,12144,295,516
Feb,Latin America,Emergency Care,Medicaid,Outpatient Center,13109,317,562
Mar,North America,Telehealth,Commercial,Hospital,18922,511,614
Mar,North America,Telehealth,Commercial,Clinic,16330,419,418
Mar,North America,Telehealth,Commercial,Outpatient Center,17640,451,455
Mar,North America,Telehealth,Medicare,Hospital,17833,526,705
Mar,North America,Telehealth,Medicare,Clinic,15389,432,480
Mar,North America,Telehealth,Medicare,Outpatient Center,16622,464,523
Mar,North America,Telehealth,Medicaid,Hospital,18557,475,724
Mar,North America,Telehealth,Medicaid,Clinic,16013,390,493
Mar,North America,Telehealth,Medicaid,Outpatient Center,17295,419,537
Mar,North America,Imaging,Commercial,Hospital,11110,731,525
Mar,North America,Imaging,Commercial,Clinic,9587,600,357
Mar,North America,Imaging,Commercial,Outpatient Center,10355,645,389
Mar,North America,Imaging,Medicare,Hospital,10469,753,603
Mar,North America,Imaging,Medicare,Clinic,9034,618,411
Mar,North America,Imaging,Medicare,Outpatient Center,9756,664,447
Mar,North America,Imaging,Medicaid,Hospital,10893,680,620
Mar,North America,Imaging,Medicaid,Clinic,9398,557,422
Mar,North America,Imaging,Medicaid,Outpatient Center,10150,599,460
Mar,North America,Cardiology,Commercial,Hospital,10519,785,1025
Mar,North America,Cardiology,Commercial,Clinic,9076,643,698
Mar,North America,Cardiology,Commercial,Outpatient Center,9802,692,760
Mar,North America,Cardiology,Medicare,Hospital,9911,807,1178
Mar,North America,Cardiology,Medicare,Clinic,8551,662,802
Mar,North America,Cardiology,Medicare,Outpatient Center,9234,712,873
Mar,North America,Cardiology,Medicaid,Hospital,10310,729,1211
Mar,North America,Cardiology,Medicaid,Clinic,8895,598,825
Mar,North America,Cardiology,Medicaid,Outpatient Center,9605,643,898
Mar,North America,Emergency Care,Commercial,Hospital,20738,657,1105
Mar,North America,Emergency Care,Commercial,Clinic,17891,538,753
Mar,North America,Emergency Care,Commercial,Outpatient Center,19320,579,820
Mar,North America,Emergency Care,Medicare,Hospital,19536,676,1270
Mar,North America,Emergency Care,Medicare,Clinic,16853,554,865
Mar,North America,Emergency Care,Medicare,Outpatient Center,18198,596,942
Mar,North America,Emergency Care,Medicaid,Hospital,20320,610,1305
Mar,North America,Emergency Care,Medicaid,Clinic,17529,500,889
Mar,North America,Emergency Care,Medicaid,Outpatient Center,18927,538,968
Mar,Europe,Telehealth,Commercial,Hospital,17253,470,511
Mar,Europe,Telehealth,Commercial,Clinic,14887,386,348
Mar,Europe,Telehealth,Commercial,Outpatient Center,16079,415,379
Mar,Europe,Telehealth,Medicare,Hospital,16257,484,587
Mar,Europe,Telehealth,Medicare,Clinic,14027,397,400
Mar,Europe,Telehealth,Medicare,Outpatient Center,15149,427,435
Mar,Europe,Telehealth,Medicaid,Hospital,16914,437,604
Mar,Europe,Telehealth,Medicaid,Clinic,14593,359,411
Mar,Europe,Telehealth,Medicaid,Outpatient Center,15760,386,448
Mar,Europe,Imaging,Commercial,Hospital,10127,673,437
Mar,Europe,Imaging,Commercial,Clinic,8738,552,298
Mar,Europe,Imaging,Commercial,Outpatient Center,9437,594,324
Mar,Europe,Imaging,Medicare,Hospital,9541,693,503
Mar,Europe,Imaging,Medicare,Clinic,8232,568,342
Mar,Europe,Imaging,Medicare,Outpatient Center,8890,611,373
Mar,Europe,Imaging,Medicaid,Hospital,9925,625,517
Mar,Europe,Imaging,Medicaid,Clinic,8563,513,352
Mar,Europe,Imaging,Medicaid,Outpatient Center,9246,551,383
Mar,Europe,Cardiology,Commercial,Hospital,9586,722,854
Mar,Europe,Cardiology,Commercial,Clinic,8270,592,582
Mar,Europe,Cardiology,Commercial,Outpatient Center,8930,636,633
Mar,Europe,Cardiology,Medicare,Hospital,9030,743,982
Mar,Europe,Cardiology,Medicare,Clinic,7790,609,669
Mar,Europe,Cardiology,Medicare,Outpatient Center,8411,655,728
Mar,Europe,Cardiology,Medicaid,Hospital,9392,670,1009
Mar,Europe,Cardiology,Medicaid,Clinic,8102,550,687
Mar,Europe,Cardiology,Medicaid,Outpatient Center,8748,591,748
Mar,Europe,Emergency Care,Commercial,Hospital,18893,604,921
Mar,Europe,Emergency Care,Commercial,Clinic,16298,495,627
Mar,Europe,Emergency Care,Commercial,Outpatient Center,17598,532,683
Mar,Europe,Emergency Care,Medicare,Hospital,17795,621,1058
Mar,Europe,Emergency Care,Medicare,Clinic,15350,510,721
Mar,Europe,Emergency Care,Medicare,Outpatient Center,16573,548,785
Mar,Europe,Emergency Care,Medicaid,Hospital,18506,561,1088
Mar,Europe,Emergency Care,Medicaid,Clinic,15962,460,741
Mar,Europe,Emergency Care,Medicaid,Outpatient Center,17234,494,807
Mar,APAC,Telehealth,Commercial,Hospital,21998,438,566
Mar,APAC,Telehealth,Commercial,Clinic,18980,359,386
Mar,APAC,Telehealth,Commercial,Outpatient Center,20497,386,420
Mar,APAC,Telehealth,Medicare,Hospital,20725,451,651
Mar,APAC,Telehealth,Medicare,Clinic,17880,370,443
Mar,APAC,Telehealth,Medicare,Outpatient Center,19309,398,482
Mar,APAC,Telehealth,Medicaid,Hospital,21559,407,669
Mar,APAC,Telehealth,Medicaid,Clinic,18599,334,455
Mar,APAC,Telehealth,Medicaid,Outpatient Center,20083,359,496
Mar,APAC,Imaging,Commercial,Hospital,12909,627,485
Mar,APAC,Imaging,Commercial,Clinic,11137,514,330
Mar,APAC,Imaging,Commercial,Outpatient Center,12026,553,359
Mar,APAC,Imaging,Medicare,Hospital,12161,645,557
Mar,APAC,Imaging,Medicare,Clinic,10490,529,379
Mar,APAC,Imaging,Medicare,Outpatient Center,11327,569,413
Mar,APAC,Imaging,Medicaid,Hospital,12648,582,572
Mar,APAC,Imaging,Medicaid,Clinic,10910,477,390
Mar,APAC,Imaging,Medicaid,Outpatient Center,11780,513,424
Mar,APAC,Cardiology,Commercial,Hospital,12216,672,946
Mar,APAC,Cardiology,Commercial,Clinic,10538,551,645
Mar,APAC,Cardiology,Commercial,Outpatient Center,11378,592,702
Mar,APAC,Cardiology,Medicare,Hospital,11506,692,1087
Mar,APAC,Cardiology,Medicare,Clinic,9925,567,741
Mar,APAC,Cardiology,Medicare,Outpatient Center,10715,610,806
Mar,APAC,Cardiology,Medicaid,Hospital,11965,624,1118
Mar,APAC,Cardiology,Medicaid,Clinic,10320,512,761
Mar,APAC,Cardiology,Medicaid,Outpatient Center,11142,550,829
Mar,APAC,Emergency Care,Commercial,Hospital,24070,562,1020
Mar,APAC,Emergency Care,Commercial,Clinic,20762,461,695
Mar,APAC,Emergency Care,Commercial,Outpatient Center,22415,495,757
Mar,APAC,Emergency Care,Medicare,Hospital,22668,578,1172
Mar,APAC,Emergency Care,Medicare,Clinic,19551,474,798
Mar,APAC,Emergency Care,Medicare,Outpatient Center,21107,510,869
Mar,APAC,Emergency Care,Medicaid,Hospital,23571,522,1205
Mar,APAC,Emergency Care,Medicaid,Clinic,20329,428,821
Mar,APAC,Emergency Care,Medicaid,Outpatient Center,21945,460,893
Mar,Latin America,Telehealth,Commercial,Hospital,13854,322,378
Mar,Latin America,Telehealth,Commercial,Clinic,11952,264,257
Mar,Latin America,Telehealth,Commercial,Outpatient Center,12906,284,280
Mar,Latin America,Telehealth,Medicare,Hospital,13050,331,434
Mar,Latin America,Telehealth,Medicare,Clinic,11258,271,295
Mar,Latin America,Telehealth,Medicare,Outpatient Center,12155,292,322
Mar,Latin America,Telehealth,Medicaid,Hospital,13573,299,446
Mar,Latin America,Telehealth,Medicaid,Clinic,11708,245,304
Mar,Latin America,Telehealth,Medicaid,Outpatient Center,12641,263,331
Mar,Latin America,Imaging,Commercial,Hospital,8128,460,323
Mar,Latin America,Imaging,Commercial,Clinic,7011,377,220
Mar,Latin America,Imaging,Commercial,Outpatient Center,7570,405,239
Mar,Latin America,Imaging,Medicare,Hospital,7655,473,371
Mar,Latin America,Imaging,Medicare,Clinic,6603,388,253
Mar,Latin America,Imaging,Medicare,Outpatient Center,7129,417,275
Mar,Latin America,Imaging,Medicaid,Hospital,7961,427,381
Mar,Latin America,Imaging,Medicaid,Clinic,6866,350,260
Mar,Latin America,Imaging,Medicaid,Outpatient Center,7413,376,283
Mar,Latin America,Cardiology,Commercial,Hospital,7689,493,631
Mar,Latin America,Cardiology,Commercial,Clinic,6632,404,430
Mar,Latin America,Cardiology,Commercial,Outpatient Center,7160,434,468
Mar,Latin America,Cardiology,Medicare,Hospital,7241,507,725
Mar,Latin America,Cardiology,Medicare,Clinic,6245,416,494
Mar,Latin America,Cardiology,Medicare,Outpatient Center,6742,447,537
Mar,Latin America,Cardiology,Medicaid,Hospital,7529,458,745
Mar,Latin America,Cardiology,Medicaid,Clinic,6494,375,507
Mar,Latin America,Cardiology,Medicaid,Outpatient Center,7010,403,552
Mar,Latin America,Emergency Care,Commercial,Hospital,15147,412,680
Mar,Latin America,Emergency Care,Commercial,Clinic,13064,338,463
Mar,Latin America,Emergency Care,Commercial,Outpatient Center,14103,363,504
Mar,Latin America,Emergency Care,Medicare,Hospital,14263,424,782
Mar,Latin America,Emergency Care,Medicare,Clinic,12300,348,532
Mar,Latin America,Emergency Care,Medicare,Outpatient Center,13278,374,579
Mar,Latin America,Emergency Care,Medicaid,Hospital,14829,383,803
